Community Name,Street Address,City,State,Zip,Phone,Administrator,Owner Company,Owner Street Address,Owner City,Owner State,Owner Zip,Owner Phone,Facility License Number,Status,Number of Beds,Date of Last Survey,Date of Original Licensure,Date of Expiration,Disciplinary Actions
MORNING POINTE OF CLINTON,960 S. CHARLES G SEIVERS BLVD,Clinton,TN,37716,Holly Steffner Layman,865-457-4005,ANDERSON COUNTY MEDICAL INVESTORS LLC,PO BOX 249 8325 HIGHWAY 60,Georgetown,TN,37336,423-238-5330,00000201,Licensed,0058,02/06/2019,03/22/2000,05/28/2020,No Disciplinary Actions
MORNING POINTE OF COLLEGEDALE AT GREENBRIAR COVE,9650 LEYLAND DRIVE,Ooltewah,TN,37363,Jennifer McFarland,423-396-6999,"GREENBRIAR ASSISTED LIVING CENTER, LLC",PO BOX 249 8325 HIGHWAY 60,Georgetown,TN,37336,423-339-3050,00000273,Licensed,0065,02/12/2019,07/21/2006,06/11/2020,No Disciplinary Actions
MORNING POINTE OF COLUMBIA,2050 UNION PLACE,Columbia,TN,38401,J. Tyler Sneed,931-388-2200,"COLUMBIA SENIOR COMMUNITY, LLC",PO BOX 249 8325 HIGHWAY 60,Georgetown,TN,37336,423-238-5330,00000092,Licensed,0053,11/08/2018,09/23/1998,03/04/2020,No Disciplinary Actions
Morning Pointe of Franklin,1005 Generations Way,Franklin,TN,37064,Bradley Hamilton,615-614-8555,"FRANKLIN TN MEDICAL INVESTORS, LLC",PO BOX 813 6020 ARBURY WAY,Ooltewah,TN,37363,423-238-5330,00000415,Licensed,0080,05/22/2019,03/11/2016,03/10/2020,No Disciplinary Actions
Morning Pointe of Greeneville,324 MT. BETHEL ROAD,Greeneville,TN,37745,Delora Bibb,423-787-1711,"GREENEVILLE SENIOR COMMUNITY, LLC",P O BOX 249 8325 HIGHWAY 60,Georgetown,TN,37336,423-238-5330,00000085,Licensed,0049,08/22/2018,08/24/1998,07/28/2020,No Disciplinary Actions
MORNING POINTE OF HIXSON,5501 OLD HIXSON PIKE,Hixson,TN,37343,Robin Jackson,423-847-1370,"HIXSON MEDICAL INVESTORS, LLC",6020 ARBURY WAY,Ooltewah,TN,37363,423-238-5330,00000311,Licensed,0080,06/19/2019,10/23/2009,10/01/2020,No Disciplinary Actions
Morning Pointe of Knoxville,9649 Westland Drive,Knoxville,TN,37922,Kristy Ritch,865-223-6422,Westland Medical Investors LLC,6020 Arbury Way P. O. Box 813,Ooltewah,TN,37363,423-238-5330,00000484,Licensed,0081,01/15/2019,01/22/2019,01/21/2020,No Disciplinary Actions
MORNING POINTE OF LENOIR CITY,198 MORNING POINTE DRIVE,Lenoir,"City,",TN,Randy Lawson,865-988-7373,"LOUDON COUNTY MEDICAL INVESTORS, LLC",PO BOX 249 8325 HIGHWAY 60,Georgetown,TN,37336,423-238-5330,00000304,Licensed,0066,10/22/2018,04/13/2009,12/14/2019,No Disciplinary Actions
MORNING POINTE OF POWELL,7700 DANNAHER DRIVE,Powell,TN,37849,Leslee Michelle Wilkinson,865-686-5771,"POWELL MEDICAL INVESTORS, LLC",6020 ARBURY WAY PO BOX 813,Ooltewah,TN,37363,423-238-5330,00000389,Licensed,0080,02/19/2019,04/08/2014,04/07/2020,1 Disciplinary Action(s)
MORNING POINTE OF SPRING HILL,1001 MCCUTHEON CREEK LANE,Spring,"Hill,",TN,Mary Alexandria Bidwell,931-451-1899,SPRING HILL MEDICAL INVESTORS LLC,6020 ARBURY WAY PO BOX 813,Ooltewah,TN,37363,423-238-5330,00000450,Licensed,0080,12/11/2018,12/15/2017,12/14/2019,No Disciplinary Actions
MORNING POINTE OF TULLAHOMA,711 KINGS LANE,Tullahoma,TN,37388,Tana Euvette Branch-Philpot,931-455-0860,TULLAHOMA SENIOR COMMUNITY LLC,PO BOX 249 8325 HIGHWAY 60,Georgetown,TN,37336,423-238-5330,00000080,Licensed,0056,05/08/2018,09/15/1998,05/28/2020,No Disciplinary Actions
MORNINGSIDE OF BELMONT,1710 MAGNOLIA BLVD,Nashville,TN,37212,Kelly Moran,615-383-2557,"MORNINGSIDE OF BELMONT, LLC",400 CENTRE STREET,Newton,MA,02458,617-796-8387,00000097,Licensed,0130,07/27/2018,10/15/1998,04/23/2020,No Disciplinary Actions
MORNINGSIDE OF CLEVELAND,2900 WESTSIDE DRIVE N.W.,Cleveland,TN,37312,PAMELA K. TURLEY,423-614-5424,"MORNINGSIDE OF CLEVELAND, LLC.",400 CENTRE STREET,Newton,MA,02458,617-796-8387,00000115,Licensed,0049,08/23/2016,11/09/1998,05/27/2020,No Disciplinary Actions
MORNINGSIDE OF COOKEVILLE,1010 EAST SPRING STREET,Cookeville,TN,38501,Sherry Smith,931-525-1083,"MORNINGSIDE OF COOKEVILLE, LLC",400 CENTRE STREET,Newton,MA,02458,617-796-8387,00000091,Licensed,0084,08/01/2018,09/30/1998,05/12/2020,No Disciplinary Actions
MORNINGSIDE OF FRANKLIN,105 SUNRISE CIRCLE,Franklin,TN,37067,Shannon Williams,615-591-3362,"MORNINGSIDE OF FRANKLIN, LLC",400 CENTRE STREET,Newton,MA,02458,617-796-8387,00000087,Licensed,0049,10/17/2018,09/17/1998,05/07/2020,No Disciplinary Actions
MORNINGSIDE OF GALLATIN,1085 HARTSVILLE PIKE,Gallatin,TN,37066,STEPHANIE M. HARVILLE,615-230-5600,"MORNINGSIDE OF GALLATIN, LLC",400 CENTRE STREET,Newton,MA,02458,617-796-8387,00000050,Licensed,0049,12/03/2018,08/17/1998,01/23/2020,No Disciplinary Actions
MORNINGSIDE OF JACKSON,1200 NORTH PARKWAY,Jackson,TN,38305,Debra Utley,731-423-1004,"Morningside of Jackson, LLC",400 CENTRE STREET,Newton,MA,02458,617-796-8387,00000002,Licensed,0070,01/24/2019,02/01/2000,05/11/2020,No Disciplinary Actions
MORNINGSIDE OF PARIS,350 VOLUNTEER DRIVE,Paris,TN,38242,Barbara Page Baggett,731-644-9680,"MORNINGSIDE OF PARIS, LLC",400 CENTRE STREET,Newton,MA,02458,617-796-8387,00000030,Licensed,0084,02/13/2019,07/08/1998,05/07/2020,No Disciplinary Actions
MORNINGSIDE OF SPRINGFIELD,205 WESTGATE DRIVE,Springfield,TN,37172,Rhonda Lynn Ladd,615-384-7369,"MORNINGSIDE OF SPRINGFIELD, LLC",400 CENTRE STREET,Newton,MA,02458,617-796-8387,00000051,Licensed,0055,06/11/2019,08/24/1998,05/05/2020,No Disciplinary Actions
MORNINGVIEW VILLAGE,2304 E. LAMAR ALEXANDER PARKWAY,Maryville,TN,37804,Leslie McInturff,865-980-6000,BLOUNT MEMORIAL HOSPITAL,907 E. LAMAR ALEXANDER PARKWAY,Maryville,TN,37804,865-983-7211,00000209,Licensed,0085,10/02/2018,06/08/2001,05/02/2020,No Disciplinary Actions
"MOUNTAINBROOK ASSISTED LIVING, LLC",700 MARKHILL DRIVE,Sevierville,TN,37862,Glenn Burton Shiflett,865-428-2445,MOUNTAINBROOK ASSISTED LIVING LLC,700 MARK HILL DRIVE,Sevierville,TN,37862,865-428-2445,00000013,Licensed,0074,07/18/2018,08/11/1998,04/16/2020,No Disciplinary Actions
"Navion BKE Bellevue, LLC",8118-B Sawyer Brown Road,Nashville,TN,37221,Gary Burns,919-371-4233,"Navion BKE Bellevue, LLC",976 Trinity Road,Raleigh,NC,27607,919-371-4233,00000196,Licensed,0099,11/07/2018,10/09/2002,01/05/2020,No Disciplinary Actions
"Navion BKE Oak Ridge, LLC",734 Emory Valley Road,Oak,"Ridge,",TN,Lee Seflers,919-371-4233,"Navion BKE Oak Ridge, LLC",976 Trinity Road SUITE 400,Raleigh,NC,27607,919-371-4233,00000128,Licensed,0094,02/05/2019,10/01/1999,09/24/2019,No Disciplinary Actions
NHC HEALTHCARE DICKSON,812 N. CHARLOTTE STREET,Dickson,TN,37055,Brandon Vincent,615-446-8046,NHC HEALTHCARE/DICKSON L.L.C.,812 N. CHARLOTTE STREET,Dickson,TN,37055,615-446-8046,00000084,Licensed,0020,03/25/2019,08/28/1998,05/14/2020,No Disciplinary Actions
"NHC HEALTHCARE, SMITHVILLE",825 FISHER AVENUE,Smithville,TN,37166,Malcolm Clint Hall,615-597-4284,"NHC HEALTHCARE/SMITHVILLE, LLC",825 FISHER AVENUE,Smithville,TN,37166,615-597-4284,00000189,Licensed,0006,02/21/2018,12/15/1998,05/28/2020,No Disciplinary Actions
"NHC HEALTHCARE, SOMERVILLE",308 LAKE DRIVE,Somerville,TN,38068,Joe Shelton,901-465-9861,"NHC HEALTHCARE/SOMERVILLE, LLC",308 LAKE DRIVE,Somerville,TN,38068,901-465-9861,00000164,Licensed,0012,01/30/2019,11/15/1998,05/04/2020,No Disciplinary Actions
NHC PLACE AT COOL SPRINGS,211 COOL SPRINGS BLVD,Franklin,TN,37069,Anthony Todd Moore,615-778-6800,"NHC HEALTHCARE/COOL SPRINGS, LLC",211 COOL SPRINGS BLVD,Franklin,TN,37067,615-778-6800,00000245,Licensed,0108,10/16/2018,05/04/2004,05/14/2020,No Disciplinary Actions
NHC Place at the Trace,8353 Highway 100,Nashville,TN,37221,Robert Marshall Ussery,629-888-5800,"NHC PLACE AT THE TRACE, LLC",8353 HIGHWAY 100,Nashville,TN,37221,629-888-5800,00000447,Licensed,0099,04/15/2019,06/20/2016,06/19/2020,No Disciplinary Actions
NHC PLACE SUMNER,140 THORNE BOULEVARD,Gallatin,TN,37066,Robert Bradford Leeman,615-451-0788,NHC HEALTHCARE-SUMNER LLC,140 THORNE BOULEVARD,Gallatin,TN,37066,615-451-0788,00000401,Licensed,0099,07/25/2018,04/24/2015,04/23/2020,No Disciplinary Actions
"NHC Place, Cavette Hill",121 Cavette Hill Lane,Knoxville,TN,37934,Karla Lane,865-392-6010,NHC Farragut Memory Care LLC,121 Cavette Hill Lane,Knoxville,TN,37934,865-392-6010,00000488,Licensed,0064,01/04/2019,01/08/2019,01/07/2020,No Disciplinary Actions
"NHC PLACE, FARRAGUT",122 CAVETT HILL LANE,Knoxville,TN,37934,KARLA LANE,865-777-9000,"NHC HEALTHCARE/FARRAGUT, LLC",122 CAVETT HILL LANE,Concord,"Farragut,",TN,865-777-9000,00000006,Licensed,0124,11/29/2017,05/21/1998,05/14/2020,No Disciplinary Actions
NORTHCLIFF ASSISTED LIVING,14691 HIGHWAY 22 NORTH,Lexington,TN,38351,Barbara Dyer,731-249-5970,"AMERICARE AT NORTHCLIFF ASSISTED LIVING,",214 N. SCOTT,Sikeston,MO,63801,573-471-1113,00000369,Licensed,0048,05/08/2019,10/26/2012,10/26/2020,No Disciplinary Actions
Northshore Senior Living,8804 S. Northshore Drive,Knoxville,TN,37922,Lindsay Williams,865-444-1294,"NORTHSHORE HEIGHTS, LLC",8804 S. NORTHSHORE ROAD,Knoxville,TN,37922,865-444-1294,00000467,Licensed,0074,04/19/2018,12/05/2016,12/04/2019,2 Disciplinary Action(s)
OAK HAVEN ASSISTED CARE LIVING FACILITY LLC,1460 CRUCIFER ROAD,Huron,TN,38345,MAX R. STANFILL,731-768-2596,OAK HAVEN LLC,1460 CRUCIFER ROAD,Huron,TN,38345,731-968-2596,00000118,Licensed,0024,02/11/2019,08/26/1998,05/11/2020,No Disciplinary Actions
OAKWOOD SENIOR LIVING,232 EAST CHURCHWELL AVENUE,Knoxville,TN,37917,Jessica Elizabeth Bennett,865-540-6243,Oakwood Properties LLC,3657 Peachtree Parkway SUITE B-351,Suwanee,GA,30024,678-341-1347,00000391,Licensed,0074,06/07/2019,09/08/2015,09/07/2020,1 Disciplinary Action(s)
OLIVE BRANCH ASSISTED LIVING,110 LUTHER ROAD,Dickson,TN,37055,MARTHA BULLINGTON,615-446-5017,"OLIVE BRANCH ASSISTED LIVING, LLC",110 LUTHER ROAD,Dickson,TN,37055,615-446-5017,00000081,Licensed,0058,10/16/2018,09/09/1998,06/03/2020,1 Disciplinary Action(s)
Optimum Senior Living,1104 Old Charlotte Road,White,"Bluff,",TN,Christy Cho,615-797-1283,"Optimum Senior Living, Inc.",392 Harding Place Suite 240,Nashville,TN,37211,615-681-6191,00000233,Licensed,0023,11/19/2018,07/01/2001,08/30/2020,1 Disciplinary Action(s)
PARK PLACE RETIREMENT COMMUNITY,31 EXECUTIVE PARK DRIVE,Hendersonville,TN,37075,Amy Raines,615-822-6002,"PARK PLACE SENIOR LIVING, LLC",31 EXECUTIVE PARK DRIVE,Hendersonville,TN,37075,615-822-6002,00000075,Licensed,0049,04/03/2019,09/01/1998,11/15/2019,No Disciplinary Actions
PARK VIEW MEADOWS,240 MTCS ROAD,Murfreesboro,TN,37129,Christa Lynn Hollar,615-907-5800,"MURFREESBORO RESIDENTIAL, LLC",240 MTCS ROAD,Murfreesboro,TN,37129,615-907-5800,00000117,Licensed,0042,07/31/2019,02/12/1999,02/26/2020,No Disciplinary Actions
PARKWAY COVE,805 BERT JOHNSTON,Covington,TN,38019,Shanon Kara Johnson,901-475-9020,"COVINGTON RESIDENTIAL, LLC",805 BERT JOHNSTON,Covington,TN,38019,901-475-9020,00000045,Licensed,0042,01/24/2019,08/06/1998,06/22/2020,No Disciplinary Actions
POPLAR ESTATES RETIREMENT CENTER,1310 ROSEWOOD DRIVE,Columbia,TN,38401,DAWN ROWE,931-381-8405,"COLUMBIA SENIOR LIVING, LLC",2202 JEFFERSON CT,Franklin,TN,37064,931-381-8405,00000077,Licensed,0058,10/22/2018,09/04/1998,06/16/2020,No Disciplinary Actions
PRESTIGE ASSISTED LIVING OF LOUDON CORP.,110 RIVER ROAD WEST,Loudon,TN,37774,NIKKI ZAVERI,865-458-6240,PRESTIGE ASSISTED LIVING OF LOUDON CORP.,PO BOX 31903,Knoxville,TN,37930,865-607-8889,00000053,On Probation,0057,07/23/2019,08/24/1998,06/23/2020,3 Disciplinary Action(s)
PRESTON PLACE II,2303 N. JOHN B. DENNIS HIGHWAY,Kingsport,TN,37660,SHARON K. DURNIN,423-378-4673,"PRESTON PLACE, LLC",2001 N. JOHN B. DENNIS HWY,Kingsport,TN,37660,423-378-6623,00000280,Licensed,0036,07/17/2018,03/23/2007,05/27/2020,No Disciplinary Actions
PRESTON PLACE SUITES,2001 N. JOHN B DENNIS HWY,Kingsport,TN,37660,Alison Colobro,423-378-6623,PRESTON PLACE LLC,2001 N. JOHN B. DENNIS HWY,Kingsport,TN,37660,423-378-6623,00000003,Licensed,0066,07/16/2018,10/29/1998,04/20/2020,No Disciplinary Actions
PRINCETON TRANSITIONAL CARE & ASSISTED LIVING,401 Princeton Road,Johnson,"City,",TN,Jennie L. Hornsby,423-232-0046,"LP Johnson City, LLC",12201 Bluegrass Parkway,Louisville,KY,40299,502-568-7800,00000486,Licensed,0079,02/25/2019,02/27/2019,02/26/2020,No Disciplinary Actions
PROSPERITY POINTE,214 PROSPERITY DRIVE,Knoxville,TN,37923,Kelly Johnson Majors,865-240-0000,"NU-SOUTH, LLC",10121 WINTER SUN LANE,Knoxville,TN,37922,212-744-2000,00000431,Licensed,0074,08/08/2018,11/22/2016,11/21/2019,No Disciplinary Actions
PROVIDENCE PLACE OF MT. JULIET,1020 CHARLIE DANIELS PARKWAY,Mount,"Juliet,",TN,Marquita Lynn McCarty,615-758-4800,MT. JULIET SENIOR LIVING LLC,2202 JEFFERSON COURT,Franklin,TN,37064,615-790-7041,00000174,Licensed,0055,02/05/2019,10/12/2000,05/06/2020,No Disciplinary Actions
QUAIL RIDGE ALZHEIMER'S SPECIAL CARE CENTER,2820 KIRBY WHITTEN PARKWAY,Bartlett,TN,38134,Dawn Renee Blankenship,901-377-7995,"BARTLETT CARE GROUP, LLC",2820 KIRBY WHITTEN PARKWAY,Memphis,TN,38134,901-377-7995,00000407,Licensed,0066,03/11/2019,04/22/2015,04/21/2020,No Disciplinary Actions
Raintree Terrace,555 RAIN FOREST ROAD,Knoxville,TN,37923,Thomas Kevin Brown,865-200-8238,NIC 19 RAINTREE LEASING LLC,1345 AVENUE OF THE AMERICAS 46TH FLOOR,New,"York,",NY,469-304-5033,00000361,Licensed,0072,03/27/2019,12/06/2012,12/06/2019,1 Disciplinary Action(s)
RED CEDAR GLEN,202 WALTON FERRY ROAD,Hendersonville,TN,37075,Krisha Owen,615-822-7520,"AMERICAN EAGLE HENDERSONVILLE, LLC",3819 HAWK CREST ROAD,Ann,"Arbor,",MI,734-418-9027,00000329,Licensed,0049,12/05/2018,03/04/2010,04/29/2020,No Disciplinary Actions
REGENCY HOUSE,2062 HAMILL ROAD,Hixson,TN,37343,Kimberly R. Handley,423-870-0050,"VERITAS INCARE, LLC",6858 SWINNEA ROAD 1A RUTLAND PLACE,Southaven,MS,38671,662-510-5544,00000150,Licensed,0054,03/27/2019,05/11/2000,06/09/2020,No Disciplinary Actions
REGENCY RETIREMENT VILLAGE,739 EAST 2ND NORTH STREET,Morristown,TN,37814,Misty Lee Stickley,423-581-7075,MORRISTOWN SENIOR SERVICES,6711 MOUNTAINVIEW ROAD SUITE 205,Ooltewah,TN,37363,423-238-8087,00000288,Licensed,0168,03/27/2019,09/06/2007,04/27/2020,No Disciplinary Actions
REGENCY RETIREMENT VILLAGE OF JACKSON,420 CHEYENNE DRIVE,Jackson,TN,38305,Jennie Spraggins,731-661-9888,"JACKSON SENIOR SERVICES, LLC",6711 MOUNTAIN VIEW ROAD SUITE 2,Ooltewah,TN,37363,423-238-8087,00000124,Licensed,0074,01/14/2019,01/20/1999,04/27/2020,No Disciplinary Actions
RENAISSANCE TERRACE,215 BEARDEN PLACE,Knoxville,TN,37917,Patricia Ann Benn,865-544-1710,"SENIOR CITIZENS HOME ASSISTANCE SERVICE,",215 BEARDEN PLACE P.O. BOX 3025,Knoxville,TN,37927,865-523-2920,00000277,Licensed,0050,02/21/2019,01/09/2009,01/04/2020,No Disciplinary Actions
"RICHLAND PLACE SENIOR LIVING CENTER, LLC",201 RICHLAND LAKE DRIVE,Portland,TN,37148,Jennifer S. Hudson,615-325-4440,"RICHLAND PLACE SENIOR LIVING CENTER, LLC",201 RICHLAND LAKE DRIVE,Portland,TN,37148,615-325-4440,00000299,Licensed,0064,07/16/2019,05/21/2008,12/22/2019,No Disciplinary Actions
RIDGEMONT MANOR #1,3805 RIDGEMONT AVENUE,Memphis,TN,38128,SHARON WILLIAMS,901-384-9205,RIDGEMONT MANOR INC,3805 RIDGEMONT AVENUE,Memphis,TN,38128,901-384-9205,00000319,Licensed,0012,01/30/2019,11/01/2017,01/01/2020,No Disciplinary Actions
RIDGEMONT MANOR #2,3815 RIDGEMONT AVENUE,Memphis,TN,38128,SHARON WILLIAMS,901-384-9205,"RIDGEMONT MANOR, INC",3815 RIDGEMONT AVENUE,Memphis,TN,38128,901-384-9205,00000312,Licensed,0012,01/30/2019,07/01/2008,05/06/2020,1 Disciplinary Action(s)
RIVER OAKS PLACE,100 FIFTH AVENUE,Lenoir,"City,",TN,Angelia Marie Cox,865-988-9321,"RIVER OAKS PLACE LENOIR CITY, LLC",100 W. FIFTH AVENUE,Lenoir,"City,",TN,865-988-9321,00000041,Licensed,0035,06/07/2019,07/28/1998,06/30/2020,No Disciplinary Actions
RIVER OAKS PLACE - LOUDON,1101 GROVE STREET,Loudon,TN,37774,Britney Rice,865-458-5841,"RIVER OAKS PLACE LOUDON, LLC",1101 GROVE STREET,Loudon,TN,37774,865-458-5841,00000052,Licensed,0049,01/09/2019,08/24/1998,06/08/2020,No Disciplinary Actions
RIVER VIEW TERRACE,114 HIGHLAND DRIVE,Mc,"Minnville,",TN,Danielle Paige Burris,931-473-2033,MCMINNVILLE RESIDENTIAL LLC,114 HIGHLAND DRIVE,Mc,"Minnville,",TN,931-473-2033,00000114,Licensed,0042,01/09/2019,05/13/1999,10/30/2020,No Disciplinary Actions
RIVER WICK,1545 FLORENCE ROAD,Savannah,TN,38372,Ken Broyles,731-926-4044,"SAVANNAH RESIDENTIAL, LLC",1545 FLORENCE ROAD,Savannah,TN,38372,731-926-4044,00000200,Licensed,0048,05/06/2019,01/12/2001,07/02/2020,No Disciplinary Actions
RIVERDALE ASSISTED LIVING FACILITY,6880 EAST RAINES ROAD,Memphis,TN,38115,Tommy L. Baker,901-795-4495,"AMERICARE-TENNESSEE PROPERTY GROUP, LLC",9114 TECHNOLOGY LANE,Fishers,IN,46038,317-806-6770,00000370,Licensed,0096,01/29/2019,03/14/2012,03/14/2020,3 Disciplinary Action(s)
ROCKGATE ASSISTED LIVING FACILITY LLC,328 CUMBERLAND STREET WEST,Cowan,TN,37318,Allen Redmon,931-962-9777,"Rockgate Assisted Living Facility, LLC",328 CUMBERLAND STREET W,Cowan,TN,37318,931-962-9777,00000373,Licensed,0017,10/02/2018,02/14/2012,02/14/2020,No Disciplinary Actions
ROSE OF SHARON'S SENIOR VILLA,5410 LEE AVENUE,Chattanooga,TN,37410,Cheri Taneka Hudgins,423-822-7673,"LEE STREET DEVELOPERS, LLC",5410 LEE AVENUE,Chattanooga,TN,37404,423-822-7673,00000292,Licensed,0028,12/17/2018,07/01/2007,06/23/2020,No Disciplinary Actions
SCHILLING GARDENS ASSISTED LIVING BY AMERICARE,15 SCHILLING BEND COMMONS,Collierville,TN,38017,Kirk Talmadge Pafford,901-850-2272,SOUTHRIDGE NURSING LLC,15 SCHILLING BEND COMMONS,Collierville,TN,38017,901-850-2272,00000290,Licensed,0078,01/29/2019,06/25/2009,03/17/2020,No Disciplinary Actions
SHANNONDALE ASSISTED LIVING CENTER,7350 MIDDLEBROOK PIKE,Knoxville,TN,37909,Keith Shelley McCord,865-690-3411,"PRESBYTERIAN HOMES OF TENNESSEE, INC",801 VANOSDALE ROAD,Knoxville,TN,37909,865-690-3411,00000135,Licensed,0049,07/11/2018,11/09/1998,07/31/2020,No Disciplinary Actions
SHANNONDALE OF MARYVILLE ASSISTED LIVING CENTER,805 SHANNONDALE WAY,Maryville,TN,37803,DAVID E. MAXWELL,865-982-4599,"PRESBYTERIAN HOMES OF TENNESSEE, INC",801 VANOSDALE ROAD,Knoxville,TN,37909,865-690-3411,00000238,Licensed,0059,10/01/2018,08/15/2003,04/20/2020,No Disciplinary Actions
SHELBY GARDENS PLACE,1535 APPLING CARE LANE,Cordova,TN,38018,Kathy Garbus,901-377-7500,CORDOVA BG OPCO LLC,330 N. WABASH AVENUE SUITE 3700,Chicago,IL,60611,312-725-7000,00000026,Licensed,0088,12/11/2018,07/01/1998,08/12/2020,No Disciplinary Actions
SIGNATURE LIFESTYLES,129 MOSEY CREEK DRIVE,Jefferson,"City,",TN,Linda Womack,865-262-9999,"SIGNATURE LIVING OF JEFFERSON CITY, LLC",12201 BLUEGRASS PARKWAY,Louisville,KY,40299,502-568-7800,00000424,Licensed,0060,06/19/2019,12/03/2015,12/02/2019,No Disciplinary Actions
SIGNATURE LIFESTYLES,1341 EAST MAIN STREET,Rogersville,TN,37857,Wanda S. Trentham,423-293-3700,"SIGNATURE LIVING OF ROGERSVILLE, LLC",12201 BLUEGRASS PARKWAY,Louisville,KY,40299,502-568-7800,00000427,Licensed,0060,08/23/2018,04/01/2016,03/31/2020,1 Disciplinary Action(s)
Somerby of Franklin,870 Oak Meadow Drive,Franklin,TN,37064,Steven Olson Stewart,615-591-2333,MEADOW SENIOR CARE LLC,1000 LEGION PLACE SUITE 1600,Orlando,FL,32801,407-999-2400,00000434,Licensed,0096,10/23/2018,08/14/2017,08/13/2020,No Disciplinary Actions
SOMEROAK SENIOR LIVING,10790 HIGHWAY 64 WEST,Somerville,TN,38068,Sandra Palmer,901-466-2076,"SOMEROAKS SENIOR LIVING, LLC",10790 HIGHWAY 64,Somerville,TN,38068,901-466-2076,00000343,Licensed,0040,01/09/2019,08/19/2011,01/01/2020,No Disciplinary Actions
SOUTHBREEZE ASSISTED LIVING,3168 HACKS CROSS ROAD,Memphis,TN,38125,Timothy William Johnson,901-748-1738,AMERICARE @SOUTHBREEZE ASSISTED LIVING,214 N. SCOTT STREET,Sikeston,MO,63801,573-471-1113,00000363,Licensed,0088,01/30/2019,07/19/2013,07/19/2020,No Disciplinary Actions
SOUTHERLAND PLACE,200 WINNERS CIRCLE SOUTH,Brentwood,TN,37027,Carla Atwell,615-221-9001,"BRENTWOOD SENIOR LIVING, LLC",2202 JEFFERSON COURT SUITE 810,Franklin,TN,37064,615-804-8565,00000300,Licensed,0052,02/27/2019,07/28/2008,04/20/2020,No Disciplinary Actions
"SOUTHERN CARE, INC",3595 CAROTHERS PARKWAY,Franklin,TN,37067,Jeri Pruitt,615-791-4430,SOUTHERN CARE INC,3595 CAROTHERS PARKWAY,Franklin,TN,37067,615-791-4430,00000007,Licensed,0060,03/11/2019,05/05/2000,05/21/2020,No Disciplinary Actions
"SOUTHERN MANOR LIVING CENTERS OF FAYETTEVILLE, LLC",115 MEDICAL CENTER BLVD,Fayetteville,TN,37334,Tina Twyman,931-433-5000,"SOUTHERN MANOR LIVING CENTERS,LLC",2020 FIELDSTONE PARKWAY SUITE 900-162,Franklin,TN,37069,615-210-2991,00000215,Licensed,0049,11/20/2018,04/16/2001,05/26/2020,No Disciplinary Actions
"SOUTHERN MANOR LIVING CENTERS OF LEBANON, LLC",900 COLES FERRY PIKE,Lebanon,TN,37087,JENNIFER BRADSHAW,615-443-7929,SOUTHERN MANOR LIVING CENTERS LLC,2020 FIELDSTONE PARKWAY SUITE 900-162,Franklin,TN,37069,615-210-2991,00000158,Licensed,0065,03/20/2019,12/30/1999,04/07/2020,No Disciplinary Actions
"SOUTHERN MANOR LIVING CENTERS OF WINCHESTER, LLC",3619 COWAN HIGHWAY,Winchester,TN,37398,Kimberly D. Gulley,931-967-9765,"SOUTHERN MANOR LIVING CENTERS, LLC",2020 FIELDSTONE PARKWAY SUITE 900-102,Franklin,TN,37069,615-255-7187,00000191,Licensed,0040,01/07/2018,04/27/2000,05/29/2020,No Disciplinary Actions
SOUTHERN OAKS,558 WHITE AVENUE,Henderson,TN,38340,Samantha Thompson-Adams,731-983-3200,"HENDERSON RESIDENTIAL, LLC",558 WHITE AVENUE,Henderson,TN,38340,731-983-3200,00000197,Licensed,0038,05/23/2019,03/10/2000,05/01/2020,No Disciplinary Actions
SPRINGFIELD HEIGHTS ASSISTED LIVING FACILITY,2540 SOUTH MAIN STREET,Springfield,TN,37172,Emily Michelle Bowers,615-212-0300,"SPRINGFIELD RESIDENTIAL, LLC",2540 S. MAIN STREET,Springfield,TN,37172,615-212-0300,00000240,Licensed,0050,04/09/2019,07/15/2003,07/24/2020,No Disciplinary Actions
STONECREST,2861 HWY 52 BY-PASS EAST,Lafayette,TN,37083,Paula Driver,615-666-6400,"TMC GROUP, INC",2861 HIGHWAY 51 BY-PASS EAST,Lafayette,TN,37083,615-666-6400,00000302,Licensed,0028,11/27/2018,03/03/2009,04/24/2020,No Disciplinary Actions
"STONES RIVER MANOR, INC.",205 HAYNES DRIVE,Murfreesboro,TN,37129,KIRKLAND A. MASON,615-893-5617,"STONES RIVER MANOR, INC",205 HAYNES DRIVE,Murfreesboro,TN,37129,615-893-5617,00000142,Licensed,0100,07/30/2019,07/01/1999,06/17/2020,No Disciplinary Actions
SUGAR CREEK RETIREMENT CENTER,1169 DUPREE AVENUE,Brownsville,TN,38012,DIANE E. HOOPER,731-772-1616,BROWNSVILLE SENIOR LIVING,1169 DUPREE AVENUE,Brownsville,TN,38012,731-772-1616,00000293,Licensed,0037,02/12/2019,08/05/2008,05/15/2020,No Disciplinary Actions
SUMMIT VIEW,825 RUNYAN DRIVE,Chattanooga,TN,37405,"Diana Walter, Ph.D.",423-875-6723,SENIOR HOUSING ALTERNATIVES INC,825 RUNYAN DRIVE,Chattanooga,TN,37405,423-875-6723,00000324,Licensed,0040,02/12/2019,04/21/2009,06/10/2020,1 Disciplinary Action(s)
